dataset_key,highest grouping,year,activity,stressor,group,dataset,stressor name,Sample IDs,# Samples,Number of Treatments,d0_treatment,d1_treatment,d2_treatment,Description
OXA,Other pesticides,2021,1,pesticide,CFS,OXA,oxalic acid,"OXA0{1,2,4-6}_d{0,1}_M",10,2,0%,3.5% w/v,N/A,pesticide exposure - 8 hr dose topical
AFB,Pests and pathogens,2021,1,pathogen,CFS,AFB,American foulbrood,"AFB{08,09,10-12}_d{0,1,2}_M",15,3,non-infected,sub-clinically infected,dose clinically infected,pathogen exposure - samples collected when clinical symptoms were observed in 6 colonies
IAP,Pests and pathogens,2021,1,pathogen,CFS,IAP,Isaeli acute paralysis virus (IAPV),"IAP0{1-5}_d{0,1}_M",10,2,non-infected,2*10^7 genomes per bee,N/A,virus exposure - sampled 6 days after start of feeding with virus solution
NOS,Pests and pathogens,2021,1,pathogen,CFS,NOS,Nosema,"NOS0{1-4,6}_d{0-2}_M",15,3,0 spores per bee,2 x 10^4 spores per bee,2 x 10^5 spores per bee,pathogen exposure - 10 days
CHA,Pests and pathogens,2020/2021,1,pathogen,CFS,CHA,chalkbrood,"CHA{6-8,14,15}_d{0,1}_M",10,2,not inoculated,spore inoculated,N/A,pathogen exposure - unsure (7 days of 10 mummies per day)
VAR,Pests and pathogens,2020/2021,1,pest,CFS,VAR,Varroa,"VAR{4-6,8,9}_d{0-2}_M",15,3,0% infestation,1%,5%,pest exposure - collection day 6 of exposure (% = varroa per bee)
DWV-A,2021,2020/2021,1,pest,CFS,DWV-A,Deformed Wing Virus,,10,2,not infected,infected (10^8 genomes per bee),,virus exposure - sampled 6 days after start of feeding with virus solution
DWV-B,2021,2020/2021,1,pest,CFS,DWV-B,Deformed Wing Virus,,10,2,not infected,infected (10^8 genomes per bee),,virus exposure - sampled 6 days after start of feeding with virus solution
PDV,Nutrition,2021,1,nutrition,CFS,PDV,pollen diversity,"PDV0{1-5}_d{0-2}_t{1,2}_M",30,3,nutritious polyfloral pollen,nutritious monofloral pollen,non-nutritious polyfloral pollen,nutrition study - 14 days
PRE,Nutrition,2021,1,nutrition,CFS,PRE,pollen restriction,"PRE0{1-5}_d{0-2}_t{1,2}_M",30,3,dose natural,dose restricted,dose supplemented,nutrition study - 17 days
oxy_2021,Oxytet,2020/2021,1,antibiotic,CFS,OXY,oxytetracycline,"OXY0{1-3,7,9}_d{0,1}_M",10,2,untreated,1.4 mM in 50% sucrose,N/A,antibiotic treatment 3 - 4 days
APP,Crops (2021),2021,2,crop,CFS,APP,apple,"APP0{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
CAC,Crops (2021),2021,2,crop,CFS,CAC,canola oil,"CAC{0{6-9},10}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
CAS,Crops (2021),2021,2,crop,CFS,CAS,canola seed,"CAS{0{6-9},10}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
CRA,Crops (2021),2021,2,crop,CFS,CRA,cranberry,"CRA{0{6-9},10}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
LBB,Crops (2021),2021,2,crop,CFS,LBB,lowbush blueberry,"LBB{1-5}{e,u}_t2_M",10,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
HBB,Highbush blueberry (2021),2021,2,crop,CFS,HBB,highbush blueberry,"HBB{0{6-9},10}{e,u}_t2_M",40,2,exposed,unexposed,,"Crop exposure - exposed apiary <= 500m from crop, unexposed apiary >1.5km from crop"
