gene_accession,LBB02e_t2_M_QC,LBB03u_t2_M_QC,LBB05u_t2_M_QC,LBB04u_t2_M_QC,LBB01e_t2_M_QC,LBB03e_t2_M_QC,LBB02u_t2_M_QC,LBB01u_t2_M_QC,LBB05e_t2_M_QC,LBB04e_t2_M_QC
MEG_5362/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,28,0,0,0,0
MEG_6136/Drugs/Multi-drug_resistance/MDR_mutation/MRPOB/RequiresSNPConfirmation,43,35,68,70,81,66,80,75,129,169
MEG_1143/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSA,0,0,0,0,0,0,0,16,0,16
MEG_6637/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,8,20,20,12,18,23,40,14,42,22
MEG_6656/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/TEHB,0,0,6,0,0,0,0,0,18,0
MEG_6531/Biocides/Multi-biocide_resistance/Multi-biocide_MFS_efflux_pump/SMFY,0,0,8,0,0,0,0,0,0,0
MEG_6891/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_6882/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,19,35,20,59,64,120,116,46,46,33
MEG_6100/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,160,191,284,268,296,434,231,364,466,343
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,74,95,116,120,120,255,152,179,209,135
MEG_8062/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,16,0,0,14,22,0,0,0,0,0
MEG_1091/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,3,19,14,11,9,20,17,20,8,16
MEG_3987/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,0,149,292,241,395,200,268,168,198,194
MEG_3627/Drugs/Lipopeptides/Colistin-resistant_mutant/LPXC/RequiresSNPConfirmation,40,0,26,18,32,28,24,0,28,26
MEG_6630/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,6,8,10,10,10,17,40,19,25,6
MEG_1701/Metals/Sodium_resistance/Sodium_resistance_protein/CHAA,0,0,6,0,0,0,0,0,0,0
MEG_2115/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,12,0,0,41,0,0,53,0
MEG_7082/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,13,58,43,67,62,139,168,51,43,50
MEG_7084/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,10,42,26,77,41,142,152,45,47,79
MEG_4750/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,14,0,0,0,0,0,0
MEG_3513/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KPN,0,0,0,0,0,7,0,0,36,0
MEG_3744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,0,0,0,0,0,42,0
MEG_1130/Drugs/Rifampin/Rifampin_ADP-ribosyltransferase_Arr/ARR,0,0,6,0,0,0,0,0,0,0
MEG_1155/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSC,0,0,0,10,0,0,6,0,0,0
MEG_5382/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,83,123,122,129,143,78,131,136,78
MEG_5379/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,15,0,19,0,0,0,23,33
MEG_7271/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIA,0,0,0,0,62,0,0,0,0,0
MEG_2788/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,5,2,0,0,6
MEG_7136/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,17,26,37,55,72,65,50,68,108,117
MEG_2138/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,0,0,28,0,0,0
MEG_413/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,0,22,0,0,37,0
MEG_2937/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,52,0,0,46,54,0,34,60,0,0
MEG_1096/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,0,31,1,12,10,33,32,14,15,16
MEG_211/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,14,0,0,0,0,0
MEG_6138/Drugs/Glycopeptides/Vancomycin-resistant_mutation/RPOC/RequiresSNPConfirmation,130,167,352,316,432,438,354,203,674,720
MEG_4027/Drugs/MLS/Macrolide_phosphotransferases/MPH,0,0,0,14,0,0,0,0,0,0
MEG_5830/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,0,0,0,5,0,0,0
MEG_3182/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,25,0,78,107,127,98,97,123,177,54
MEG_1289/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,0,0,10,0,0,0,0,0
MEG_4002/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODA,0,0,0,0,0,0,0,0,12,0
MEG_6919/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,4
MEG_4122/Metals/Multi-metal_resistance/Multi-metal_MFS_efflux_regulator/NCRB,4,0,0,0,0,0,0,0,0,0
MEG_3985/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,225,122,211,260,382,287,195,247,293,143
MEG_6083/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/ROSA,0,0,8,0,0,0,0,0,0,0
MEG_5392/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,67,37,69,60,105,0,74,97,146,164
MEG_2116/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,10,2,2,0,0,0,0,0
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2122/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,0,0,0,2,0,0,0,0,0
MEG_194/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,8,0,0,18,0,0,0,0,0
MEG_7104/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,78,69,100,106,180,203,174,215,425,408
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,11,0,2
MEG_6673/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_2581/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRK,0,0,0,0,0,0,0,0,6,0
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,46,58,0,0,0
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,4,36,23,79,41,115,138,38,29,68
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,0,0,22,0,20,0,0,0,0
MEG_2080/Metals/Copper_resistance/Copper_resistance_regulator/COPY,0,0,0,0,24,0,0,0,0,0
MEG_1057/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,3,10,0,10,9,16,8,11,8,10
MEG_6777/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,2,0,0
MEG_1097/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,6,12,1,8,16,27,16,18,16,16
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,10,0,0,0,0,36,0,24
MEG_7211/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,41,14,26,57,99,88,16,37,81,28
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,24,31,0,0,25,0
MEG_1086/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,6,15,4,8,19,46,23,30,22,20
MEG_6625/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,4,11,10,16,25,12,49,22,30,7
MEG_7111/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,46,35,18,48,105,96,57,59,107,91
MEG_400/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,0,0,83,0,0,89,19
MEG_7472/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,0,0,0,0,24,0,0,0
MEG_3978/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,279,331,437,412,555,360,476,355,477,376
MEG_2477/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZNB,0,0,0,48,22,0,0,0,0,0
MEG_4092/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,0,30,0,0,0,0,0,0
MEG_8690/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/SALD,0,0,0,70,0,94,0,70,0,0
MEG_1148/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,0,0,13,0,0,25,0,0,24,0
MEG_1603/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,0,0
MEG_7043/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,69,92,130,118,131,214,148,143,189,168
MEG_8695/Drugs/betalactams/Class_C_betalactamases/SFDC,0,0,0,0,34,0,0,0,0,0
MEG_6618/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,2,4,5,8,7,8,33,0,22,6
MEG_2124/Metals/Copper_resistance/Copper_resistance_protein/CRDA,8,0,0,0,0,0,0,0,0,0
MEG_7221/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,6,4,0,9,5,0,0,0,5
MEG_7058/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,5,35,30,19,20,29,28,0,47,10
MEG_6663/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,4,0,0,0,0,0
MEG_2653/Metals/Copper_resistance/Copper_resistance_protein/DNAK,40,39,63,93,151,113,69,141,116,71
MEG_6596/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,0
MEG_2091/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,6,0,10,6,6,36,4,10,50,0
MEG_5321/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/OXYRKP,0,2,0,2,6,16,0,0,22,0
MEG_1019/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,5,17,3,25,22,48,33,62,29,21
MEG_4009/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,0,0,0,10,0,0,0,0
MEG_6135/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,24,32,0,0,56,0,0,96,0
MEG_7033/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,2,0,11
MEG_7042/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,88,154,250,226,225,349,216,276,325,205
MEG_7265/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,0,4,0,0,0,0
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_2734/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/EMRR,0,0,0,0,2,0,0,0,0,0
MEG_7521/Drugs/Glycopeptides/VanN-type_regulator/VANSN,24,0,22,0,60,0,26,0,0,0
MEG_990/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,30,40,24,22,30,38,16,38,22,20
MEG_6916/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_1054/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,4,10,2,15,4,13,7,17,12,11
MEG_8165/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,16,14,18,0,0,0,0
MEG_5395/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,0,0,0,0,35,0,0,0,0,34
MEG_5782/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,0,0,0,0,12,0,0,21,0
MEG_2706/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/EFRA,0,0,116,40,66,46,0,0,0,263
MEG_3998/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTH,0,0,12,0,0,0,0,0,50,0
MEG_7020/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,4,0,0,0,0,0,4
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,142,0,68,76,0,148,28,0,52,0
MEG_7316/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,33,63,91,80,115,152,57,87,150,66
MEG_5828/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACE,0,0,0,0,0,0,7,0,0,0
MEG_4211/Drugs/Multi-drug_resistance/Multi-drug_MFS_efflux_pumps/NORBD,0,68,0,0,0,0,0,0,66,0
MEG_3209/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,26,0,26,37,78,95,61,71,94,82
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,17,19,16,17,16,23,22,4,61,13
MEG_3129/Drugs/betalactams/Class_A_betalactamases/GES,0,0,0,6,0,0,9,0,0,0
MEG_3990/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,600,471,805,884,1486,1049,825,856,1393,628
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,40,83,194,48,205,140,132,125,222,440
MEG_8741/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/YAJC,0,0,0,4,0,0,0,0,0,0
MEG_7826/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFED,0,0,0,16,0,0,0,0,0,0
MEG_679/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADEC,0,0,0,0,20,0,0,0,0,0
MEG_7471/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,0,0,32,0,0,0,16,0
MEG_6519/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/SMDA,0,0,22,0,0,0,0,0,0,0
MEG_5384/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,16,22
MEG_8649/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,4,0,0,0,6,0,0,0,4,0
MEG_6098/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,39,44,104,48,121,97,126,84,141,178
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,10,0,0,0,0,0,7
MEG_3252/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/HASF,0,0,0,0,0,0,0,0,20,0
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,15,14,11,30,36,43,44,25,77,57
MEG_7184/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,10,0,14,0,0,6,0,0,0
MEG_1486/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CADD,0,0,0,14,10,44,0,0,0,0
MEG_2792/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,4,4,4,0,13
MEG_3238/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,12,0,21,53,0,0,98,0
MEG_7159/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,2,0,0,0,0,0,0,0,0,0
MEG_7620/Drugs/MLS/Streptogramin_A_O-acetyltransferase/VATA,0,0,0,10,0,0,0,0,0,0
MEG_7234/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,2,4,10,14,12,6,10,13,12
MEG_8670/Drugs/Oxazolidinone/Oxazolidinone-resistant_23S_rRNA_mutation/RPLC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,1
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,0,0,4,0,0,9
MEG_3737/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,0,0,0,6,0,0,6,0
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,111,300,149,214,179,111,159,182,488
MEG_8035/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/CPRR,0,0,0,0,0,0,0,12,0,0
MEG_2632/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,12,0,0,0,0,0
MEG_4056/Drugs/Cationic_antimicrobial_peptides/Defensin-resistant_mprF/MPRF,0,0,0,70,0,28,0,40,0,0
MEG_3280/Drugs/betalactams/Class_A_betalactamases/HUGA,0,0,0,14,0,0,0,0,0,0
MEG_6654/Metals/Copper_resistance/Copper_resistance_protein/TCRZ,4,0,0,0,0,0,0,0,0,0
MEG_6743/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,2
MEG_7330/Drugs/Fosfomycin/Fosfomycin_target_mutation/UHPT/RequiresSNPConfirmation,0,0,0,0,0,18,0,0,0,0
MEG_3187/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,23,0,0,56,0
MEG_3324/Drugs/betalactams/Class_B_betalactamases/IMP,0,0,0,0,0,0,0,0,10,0
MEG_2137/Drugs/betalactams/Class_A_betalactamases/CSP,0,0,0,0,32,26,32,0,16,0
MEG_3988/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,376,358,551,341,811,603,558,580,1315,1236
MEG_6890/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7222/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,7,0,3,0,9,3,0,2,10,4
MEG_6117/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,41,64,0,64,45,0,0,87,114
MEG_1655/Metals/Chromium_resistance/Chromate_ABC_efflux_pump/CEUE,0,0,0,0,0,0,0,0,70,0
MEG_6976/Drugs/Tetracyclines/Tetracycline_inactivation_enzymes/TET34,0,0,6,0,0,0,0,0,0,0
MEG_2087/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,0,0,0,0,20,0,0,44,0
MEG_5363/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,20,0
MEG_6110/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,56,50,78,67,106,97,86,74,161,171
MEG_7304/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,3,0,0,0,0,0,10,0
MEG_8250/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,242,766,673,789,469,1001,1260,1081,974,852
MEG_5854/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,0,0,10,0,0,0,0,0,0
MEG_7320/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,10,23,16,13,11,20,18,40,26,15
MEG_5418/Metals/Copper_resistance/Copper_resistance_protein/PCOB,4,0,0,0,0,0,0,0,0,0
MEG_2452/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CUSR,0,0,0,0,0,14,0,0,8,0
MEG_6897/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_2454/Metals/Copper_resistance/Copper_resistance_protein/CUTA,0,0,0,20,0,0,0,0,0,0
MEG_6124/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,78,31,73,46,83,69,83,58,134,95
MEG_7157/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,0,0,4,0,0,0
MEG_3067/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSB,0,0,0,10,0,0,0,0,0,0
MEG_3586/Drugs/Lipopeptides/Daptomycin-resistant_mutant/LIAFSR/RequiresSNPConfirmation,12,0,0,0,30,0,0,36,32,0
MEG_7217/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,40,20,47,62,105,67,30,53,96,43
MEG_3975/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,366,242,354,477,846,664,384,506,686,439
MEG_7825/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEC,32,90,110,108,104,87,74,108,88,18
MEG_7822/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,0,18,0,6,0,12,8,12,0
MEG_1209/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BCR,0,0,0,0,0,0,0,0,4,0
MEG_2580/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRI,36,0,0,0,0,0,0,0,0,0
MEG_4574/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,18,0,0,0,0
MEG_8701/Drugs/betalactams/Class_C_betalactamases/SRT,0,0,2,0,0,0,0,0,0,0
MEG_7317/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,72,198,169,164,135,283,249,267,421,116
MEG_7103/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,37,51,62,37,120,146,95,133,249,229
MEG_3199/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,65,0,0,74,118,178,152,84,161,61
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,26,0,0,27,0,0,52,0
MEG_5393/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,4,6,0,0,12,0
MEG_7151/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,0,0,0,8,0,5,0,0,0
