gene_accession,CRA08u_t2_M_BC,CRA10e_t2_M_BC,CRA06u_t2_M_BC,CRA07u_t2_M_BC,CRA06e_t2_M_BC,CRA10u_t2_M_BC,CRA08e_t2_M_BC,CRA09u_t2_M_BC,CRA07e_t2_M_BC,CRA09e_t2_M_BC
MEG_409/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRF,0,0,0,0,0,77,0,31,0,13
MEG_6105/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,113,232,205,311,132,397,119,348,307,295
MEG_6612/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,1,0,0,0,0,0,0
MEG_6949/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,15,0,6,0,4,0
MEG_5784/Drugs/Lipopeptides/Colistin_resistant_mutant/PHOP/RequiresSNPConfirmation,0,0,0,0,0,0,0,6,0,0
MEG_1119/Drugs/Multi_drug_resistance/MDR_regulator/ARLS,0,0,0,0,0,56,0,0,0,0
MEG_8254/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,940,943,1219,1342,997,1850,951,1025,1148,620
MEG_5371/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,66,95,88,89,0,120,72,106,0,0
MEG_7273/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIB,0,0,0,0,0,48,0,0,0,0
MEG_3/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,389,1054,1133,1227,842,2003,676,1031,1675,1580
MEG_6662/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_7147/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,8,0,14,9,16,5,14,15,49
MEG_3744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTA,0,0,0,0,0,0,4,54,17,0
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,67,124,164,110,119,204,87,67,116,93
MEG_8260/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRG,0,0,0,0,0,62,0,0,0,0
MEG_1218/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/BCRCM,14,8,0,0,0,0,0,0,0,0
MEG_8688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALB,104,0,0,0,0,146,82,108,0,0
MEG_4094/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,18,36,0,44,0,26,0,0
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,214,243,325,334,155,523,187,314,247,309
MEG_413/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,10,4,5,0,0,0,0,76,20,0
MEG_3989/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,56,0,86,0,85,0,0,0,0,0
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,107,131,140,146,166,174,94,171,126,178
MEG_7124/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,4,39,30,11,20,20,18,8,26,26
MEG_2019/Metals/Copper_resistance/Copper_resistance_protein/COPA,54,22,64,0,0,64,0,94,119,17
MEG_3601/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,5,0,0,0,0,0,0
MEG_7319/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,139,225,215,251,197,432,122,270,455,412
MEG_7304/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,0,18,0,0,0,0,0,0
MEG_2085/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,22,2,19,0,0,3,0,73,43,11
MEG_6777/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,2,0,0,0,0,0
MEG_3765/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTP,0,10,0,0,0,79,0,30,0,0
MEG_3883/Metals/Mercury_resistance/Mercury_resistance_regulator/MERR,0,0,0,0,0,2,0,0,0,0
MEG_2673/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,2,0,0,0,0,0,0,0
MEG_3736/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,5,0,0,0,0,23,0,0,0,0
MEG_2731/Drugs/Multi_drug_resistance/Multi_drug_SMR_efflux_regulator/EMRE,0,0,0,6,0,0,0,0,0,0
MEG_1704/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/CHR,0,0,0,0,0,0,0,2,0,0
MEG_3078/Biocides/Acid_resistance/Acid_resistance_protein/GADB,0,0,0,0,0,49,0,4,0,0
MEG_396/Metals/Iron_resistance/Iron_resistance_protein/ACN,274,719,746,549,536,906,352,362,569,531
MEG_6154/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RUVBM,7,1,7,0,0,0,0,2,0,0
MEG_1006/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT9,28,0,22,14,10,40,0,26,0,0
MEG_458/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,2,0,0,0,0,0,0,0
MEG_7106/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,7,18,17,14,22,18,14,11,18,21
MEG_4665/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,16,0,0,0,0
MEG_4132/Drugs/Mycobacterium_tuberculosis_specific_Drug/Isoniazid_resistant_mutant/NDH/RequiresSNPConfirmation,0,0,0,0,0,12,0,0,0,0
MEG_8446/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,13,0,52,0,0,8,16,14,62,15
MEG_7265/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,0,0,0,0,4,0,2,4,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,266,203,373,159,143,342,147,536,458,183
MEG_6598/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,1,0,0,0,0,0,0,0
MEG_3992/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,6737,22218,22403,24237,16953,38050,12073,22119,36401,33682
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,22,0,76,0,0,64,0,6,18,17
MEG_3248/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,17,0,0,0,0,19
MEG_1486/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CADD,0,0,0,0,0,0,0,14,0,0
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,14,0,39,0,0,13,0,57,57,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,28,20,6,14,14,4,4,10,18
MEG_6164/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,6,0,0
MEG_6041/Drugs/betalactams/Class_A_betalactamases/RAHN,0,0,0,0,0,0,0,0,0,1
MEG_2381/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,1,0,0,0,0
MEG_6962/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERZ,22,0,34,0,0,0,0,0,0,13
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,84,0,96,0,114,0,137,0,82
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,8,0,0,0,0
MEG_3203/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,217,242,299,306,263,415,239,230,216,349
MEG_6502/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILC,0,0,0,0,0,0,12,0,0,0
MEG_6590/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_6114/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,116,149,167,94,127,233,130,121,89,153
MEG_3908/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXE,0,7,18,0,0,0,0,0,0,0
MEG_7408/Drugs/Glycopeptides/VanA_type_resistance_protein/VANHA,0,0,0,30,0,0,0,0,10,0
MEG_7044/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,145,183,168,167,157,288,129,126,119,183
MEG_6142/Drugs/Mycobacterium_tuberculosis_specific_Drug/Pyrazinamide_resistant_mutant/RPSA/RequiresSNPConfirmation,134,349,397,243,276,435,175,146,237,237
MEG_6099/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,63,52,124,32,62,109,56,150,212,93
MEG_6790/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_3129/Drugs/betalactams/Class_A_betalactamases/GES,0,0,11,2,0,5,0,0,1,0
MEG_7121/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,35,103,115,84,83,53,32,68,146,118
MEG_7594/Drugs/Glycopeptides/VanA_type_accessory_protein/VANYA,0,0,0,8,0,0,0,0,0,0
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,38,12,82,0,10,31,6,160,194,36
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,516,727,572,610,878,978,546,482,671,1206
MEG_7026/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,5,7,0,0,0,0
MEG_6827/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,4,0,0,0,0,0
MEG_7059/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,3,30,29,4,20,24,2,175,19,4
MEG_4359/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,12,0,0,0,0,0,0,0
MEG_5774/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/PFR,0,0,16,0,0,0,0,0,0,0
MEG_7177/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,12,4,0,0,0,4,0,0,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,94,0,109,80,51,164,81,0,0,0
MEG_6726/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,2,0,0,0,4
MEG_5817/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTS,26,0,81,0,7,23,0,35,94,24
MEG_7279/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/TROB,0,0,0,0,0,0,20,0,0,0
MEG_2944/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,3,0,0,45,0
MEG_3251/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRC/RequiresSNPConfirmation,444,431,437,457,310,669,431,371,355,365
MEG_3460/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/KMRA,28,0,51,0,0,32,0,0,0,0
MEG_769/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,5,0,0,0,0
MEG_6882/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,4,0,0,0,0,2
MEG_463/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,8,0
MEG_1619/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,1,0,0,0,0,0,0,0
MEG_2435/Drugs/betalactams/Class_A_betalactamases/CTX,6,49,0,0,4,0,247,1767,3,0
MEG_7213/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,20,14,9,4,5,0,5,10,6
MEG_1600/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,2,0,0,0,0,0,0,0
MEG_1161/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,6,0,3,0,0,0,0,0,0,4
MEG_6540/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,25,0,39,0,0,40,0,41,80,24
MEG_452/Drugs/betalactams/Class_C_betalactamases/ACT,0,4,0,0,0,0,0,0,0,0
MEG_7061/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,19,18,55,42,0,44,11,4
MEG_7312/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,1704,1692,2020,1662,1934,2804,1677,1419,1679,2227
MEG_6125/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,317,316,428,505,341,730,277,388,313,172
MEG_3976/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,6716,6888,8300,10409,6398,9555,6276,7247,6138,6293
MEG_6096/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,46,0,59,57,0,0,41,0,0,0
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,0,4,0,0,12,0,2,0,2,0
MEG_790/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,0,0,0,2
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,8,10,0,13,31,22,4,11,24,30
MEG_6680/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,1
MEG_6520/Biocides/Multi_biocide_resistance/Multi_biocide_ABC_efflux_pump/SMDB,47,18,95,0,0,46,0,62,123,19
MEG_6013/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRD,0,0,0,0,0,26,0,0,0,0
MEG_6903/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_1231/Metals/Copper_resistance/Copper_resistance_regulator/BHSA,8,0,12,0,0,15,0,5,2,1
MEG_2718/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/EMHC,0,0,29,0,24,0,0,0,0,0
MEG_7837/Biocides/Multi_biocide_resistance/Multi_biocide_resistance_protein/YJCG,99,0,138,0,8,67,13,86,178,45
MEG_2990/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,7,7,15,0,3,0,0,10,0,0
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,15,6,34,0,0,0,0,54,21,0
MEG_2502/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,0,0,1,0,0,0,0
MEG_3994/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1308,1409,1599,1711,670,2031,1021,1385,758,742
MEG_3236/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,16,0,29,0,0,0,0
MEG_7032/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,2,0,0,2,5,0,0,0,0
MEG_2994/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,5,0,19,0,0,0,0,0,0,2
MEG_7057/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,8,12,12,8,16,6,0,295,13,11
MEG_2439/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CUEA,0,0,113,0,30,0,0,0,0,0
MEG_3083/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/GADX,0,0,0,0,0,25,0,0,0,0
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,37,32,0,42,10,46,6,0,0,128
MEG_3747/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,83,28,177,0,0,124,33,286,206,72
MEG_7266/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,0,0,0,0,10,0,0,0,7
MEG_2448/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSC,0,0,0,0,0,19,0,0,0,0
MEG_6163/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,8,0,0,0,33,0,0,0,12
MEG_1642/Drugs/Lipopeptides/Daptomycin_resistant_mutant/CDSA/RequiresSNPConfirmation,0,0,0,0,0,0,28,0,0,0
MEG_2087/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,10,2,22,0,0,28,4,65,95,7
MEG_1544/Drugs/betalactams/Class_A_betalactamases/CARB,0,0,31,0,0,0,0,0,0,0
MEG_6805/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,10,0,0,0,0,0
MEG_3217/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,109,119,174,196,143,290,130,121,108,59
MEG_8152/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,162,0,110,0,0
MEG_951/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,2,0,0,0,31,0,0,0,10
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,4,0,0,0,0,0,0,0,0,0
MEG_4203/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,20,0,23,0,0,0,0,28,0,0
MEG_6696/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,13,0,18,0,0,23,0,0,0,5
MEG_2966/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,8,0,10,0,0,0,0,0,1,0
