gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_6134/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,15,0,0,0,0,0,0,0
MEG_3989/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,0,0,57,72,0,0,0,0,92,0
MEG_8254/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,768,358,628,942,613,948,715,390,924,757
MEG_396/Metals/Iron_resistance/Iron_resistance_protein/ACN,549,277,554,647,845,724,463,653,413,469
MEG_7849/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZINT,0,0,0,0,0,0,0,0,6,0
MEG_493/Drugs/betalactams/Class_C_betalactamases/ACT,0,5,6,14,0,3,0,0,0,0
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH9,0,0,0,0,0,0,0,48,0,0
MEG_7861/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,0,0,0,11,0,0,5,0,14,0
MEG_3253/Biocides/Acid_resistance/Acid_resistance_protein/HDEA,0,4,0,0,0,0,4,0,13,0
MEG_2677/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,0,0,2,0,0,2,0
MEG_2830/Drugs/MLS/23S_rRNA_methyltransferases/ERMF,0,10,0,0,0,0,0,0,0,0
MEG_2715/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/EMHA,0,0,0,0,8,0,0,0,0,0
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,0,10,0,21,0,8,12,38,56,15
MEG_3141/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,23,14,41,0,10,2,12,11,6
MEG_6582/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,5,0,2,2,8,3,11,10,0,10
MEG_7169/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,4,0,10,6,8,13,0,10,2,9
MEG_7883/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB/RequiresSNPConfirmation,0,131,29,210,6,37,20,84,88,76
MEG_7481/Drugs/Glycopeptides/VanG_type_regulator/VANRG,32,22,26,70,30,44,0,32,22,30
MEG_4662/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,12,0,0,0,0
MEG_6578/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SUGE,0,0,0,0,0,0,1,0,0,0
MEG_6622/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,13,11,12,18,22,12,32,25,0,16
MEG_7181/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,0,10,0,0,0,0,0,0,0
MEG_304/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,12,0,0
MEG_4327/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,6,0,4,0,0,0,4,0,0
MEG_277/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,6,0,0,0,0,0
MEG_6115/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,84,0,62,49,0
MEG_3296/Drugs/Mupirocin/Mupirocin_resistant_isoleucyl_tRNA_synthetase/ILES/RequiresSNPConfirmation,131,73,111,161,115,155,99,126,60,84
MEG_2685/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,1,0,1,0,0,0,0,2,0
MEG_1744/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,42,0,48,0,0,56,0,0,0,28
MEG_2790/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,0,0,2,8,0,2,0,0
MEG_7222/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,4,0,0,2,0,0,2,0
MEG_3191/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,18,0,0,0,0
MEG_7083/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,34,22,66,43,45,17,34,66,25,28
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,9,2,17,0,2,2,0,10,17
MEG_5334/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,43,102,39,171,26,40,24,52,66,78
MEG_7813/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YCHH,0,4,0,19,0,2,2,9,4,3
MEG_6110/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,59,72,64,94,73,113,75,69,70,72
MEG_3758/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,19,24,34,0,18,10,10,32,15
MEG_404/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,40,63,33,169,23,43,56,42,75,43
MEG_401/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRB,0,147,36,247,16,44,36,112,125,75
MEG_6625/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,16,8,25,6,8,20,24,14,0,17
MEG_6086/Drugs/Rifampin/Rifampin_phosphotransferase/RPH,0,0,0,0,0,0,0,0,46,0
MEG_8253/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,555,252,509,678,397,667,677,291,625,575
MEG_5375/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,594,489,941,827,707,758,793,693,686,702
MEG_6692/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_7811/Metals/Iron_resistance/Iron_resistance_protein/YBTP,0,12,0,22,0,0,0,0,19,0
MEG_6867/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,5,11,0,27,0,0,38,0
MEG_6502/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILC,0,7,4,25,0,0,0,6,2,12
MEG_3737/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,8,0,19,0,0,0,15,7,10
MEG_4337/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,8,0,0,0,0,0,0
MEG_7480/Drugs/Glycopeptides/VanE_type_regulator/VANRE,0,0,0,0,0,0,40,0,0,0
MEG_3982/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,315,222,296,359,429,472,347,348,240,332
MEG_6863/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_2120/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,0,2,6,14,0,2,0,11,20,6
MEG_6948/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_2684/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,4,0,0,0,0,0,0,0,1
MEG_7194/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,159,120,225,87,185,62,132,249,50,135
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,16,21,44,36,0,8,17,0,81,25
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,0,0,2,2,0,3,6,5,29,0
MEG_3661/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,3,0,4,0,0,0,4,4,0
MEG_4328/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,4,0,3,0,0,0,4,2,0
MEG_2674/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,1,0,0,0,0,0,0,0,0
MEG_1971/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,2,0,0
MEG_7318/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,182,135,214,341,241,283,195,234,208,231
MEG_8678/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,150,117,97,176,54,75,67,85,70,88
MEG_3738/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,8,0,16,0,0,8,0,5,15
MEG_7268/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLCSM,0,0,0,0,0,0,0,0,0,5
MEG_7520/Drugs/Glycopeptides/VanM_type_regulator/VANSM,36,0,0,0,0,18,0,34,0,0
MEG_2670/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/DRRA,0,0,0,0,0,0,0,11,0,0
MEG_6124/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,69,34,49,106,60,81,45,60,53,62
MEG_3028/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSX,0,0,0,0,0,0,0,0,16,8
MEG_6892/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_7145/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,27,19,27,38,34,97,59,33,60,37
MEG_5363/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,13,0,20,0,0,9,0,19,16
MEG_408/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRE,0,0,5,11,0,0,10,5,29,7
MEG_7896/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,0,0,2
MEG_7215/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,9,10,31,16,32,47,9,15,12,11
MEG_1270/Drugs/betalactams/Class_C_betalactamases/BLAC,0,0,0,0,0,14,0,0,0,0
MEG_7048/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,115,108,133,110,111,131,163,102,95,143
MEG_1800/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,3,0,0,0,0,0,2
MEG_6577/Biocides/Multi_biocide_resistance/Multi_biocide_SMR_efflux_pump/SUGE,0,3,0,0,0,0,3,2,9,0
MEG_2092/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORD,0,0,0,0,0,1,2,1,0,2
MEG_4343/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,13,0,0,0,9,0,0
MEG_2847/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,2,0,0,24,14,8,15,10,14,0
MEG_4357/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,7,0,0,0,0,0,0,0,0
MEG_1490/Drugs/Cationic_antimicrobial_peptides/Cationic_peptide_resistant_16S_ribosomal_subunit_protein/CAP16S/RequiresSNPConfirmation,1892,1350,1966,2760,1818,2092,2149,2114,1988,1677
MEG_1171/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,2,0,4,0,0,0,4,2,0
MEG_6541/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,10,0,0,0,0,0,0,3,0
MEG_7061/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,0,16,12,5,0,4,0,0
MEG_4283/Drugs/betalactams/Mutant_porin_proteins/OMP37,0,38,15,81,0,8,0,10,12,29
MEG_1231/Metals/Copper_resistance/Copper_resistance_regulator/BHSA,0,0,0,10,0,0,0,9,11,6
MEG_8275/Drugs/Mycobacterium_tuberculosis_specific_Drug/MDR_mutant_promoter/NUOA/RequiresSNPConfirmation,0,0,5,0,0,0,0,0,0,0
MEG_14/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC2_PRIME,0,0,0,0,0,0,0,12,0,0
MEG_6049/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/RCNB,0,0,1,0,0,0,0,4,11,5
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,0,19,6,27,0,9,0,7,23,4
MEG_4033/Drugs/MLS/Macrolide_phosphotransferases/MPHB,0,0,0,0,0,0,24,0,35,0
MEG_1574/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,10,0,1,5,0,3
MEG_728/Drugs/betalactams/Class_C_betalactamases/AMPC,0,0,0,0,0,0,2,0,2,0
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,145,64,222,23,41,24,95,36,117
MEG_3287/Biocides/Peroxide_resistance/Peroxide_resistance_stress_protein/IBPA,0,7,0,13,0,4,7,21,32,9
MEG_1195/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAES,0,0,7,26,0,0,12,18,15,11
MEG_3177/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,27,0,26,30,19,0,0,0,19,27
MEG_6688/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_446/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,1,0,0,0,0,0,2
MEG_5373/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,259,510,209,231,217,196,248,156
MEG_6958/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERD,0,8,0,15,0,0,4,0,9,0
MEG_4355/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,18,0,18,0,8,0,0,14,0
MEG_2017/Metals/Copper_resistance/Copper_resistance_regulator/COMR,0,17,8,10,0,0,7,3,11,9
MEG_6174/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEX,0,0,0,7,0,0,0,0,0,0
MEG_7018/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,1,0
MEG_488/Drugs/betalactams/Class_C_betalactamases/ACT,0,1,0,11,0,0,0,0,0,0
MEG_6045/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_regulator/RAMR/RequiresSNPConfirmation,0,0,0,9,0,8,0,0,2,0
MEG_6/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3821,2719,4308,5590,3761,4500,4437,3865,4137,4004
MEG_6156/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALA,0,0,0,0,0,0,0,0,32,0
MEG_439/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,2,0,0
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,2,9,12,5,16,24,6,10,2,10
MEG_3/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,624,375,537,971,818,949,643,621,518,571
MEG_1145/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSB,0,15,0,21,0,0,9,23,20,8
MEG_7015/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,4,0,0,0,0,0,0,0
MEG_8151/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,41,117,41,195,42,63,53,66,63,108
MEG_497/Drugs/betalactams/Class_C_betalactamases/ACT,0,20,4,18,0,0,0,7,0,2
MEG_8247/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/MEXC1,0,0,0,32,0,0,0,0,0,0
MEG_2024/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,0,0,0,0,2,0,0,0
MEG_2966/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,2,4,14,0,0,0,0,0,3
MEG_4338/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,6,0,0,0,0
MEG_7868/Metals/Zinc_resistance/Zinc_resistance_regulator/ZUR,0,2,2,6,0,0,2,3,8,8
MEG_2844/Drugs/MLS/23S_rRNA_methyltransferases/ERMR,6,0,0,12,21,10,5,8,18,0
MEG_6754/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_8680/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRS/RequiresSNPConfirmation,733,481,641,1524,950,1082,719,736,683,664
MEG_5364/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,34
MEG_8690/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALD,0,0,0,0,32,0,0,40,0,0
MEG_5846/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACG,0,0,0,0,0,0,0,0,4,0
MEG_1097/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,4,6,6,4,4,4,8,5,14,4
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,72,55,94,119,108,92,113,85,77,71
MEG_5323/Drugs/Pleuromutilin/Pleuromutilin_resistant_23S_rRNA_mutation/P23S/RequiresSNPConfirmation,0,0,0,33,0,0,0,0,39,0
MEG_7105/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,58,26,69,56,71,137,68,49,57,51
MEG_6813/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,4,0,0,0,0
MEG_3179/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,134,46,47,120,0,0,74,88,77,86
MEG_6722/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,2,0
MEG_8148/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,19,35,18,21,0,24,22,31,20
MEG_1485/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/CADC,48,26,24,68,34,28,28,38,0,44
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone_resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,309,192,287,413,399,427,262,345,241,272
MEG_7854/Metals/Zinc_resistance/Zinc_resistance_regulator/ZNTR,0,6,2,15,0,4,2,5,14,9
MEG_4324/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,4,0,12,0,0,0,0,0,0
MEG_5342/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,32,24,89,0,17,51,29,19,23
MEG_6551/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_resistance_regulator/SOXS,0,2,0,0,0,0,4,0,4,0
MEG_6548/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/SOXR/RequiresSNPConfirmation,0,8,0,16,0,12,0,0,4,3
MEG_3662/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,10,4,17,0,1,7,1,14,5
MEG_3980/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,434,237,351,481,433,536,321,385,246,394
MEG_6891/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6684/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,4
MEG_3142/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,0,11,11,35,0,5,2,10,8,7
MEG_3255/Biocides/Acid_resistance/Acid_resistance_protein/HDEB,0,0,0,0,0,0,0,0,2,0
MEG_6087/Drugs/Rifampin/Rifampin_phosphotransferase/RPH,0,0,0,0,0,0,0,0,6,0
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,0,10,0,31,0,0,53,16,23,22
MEG_5783/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,8,2,23,0,7,5,17,17,8
