gene_accession,COR03u_t2_M_ON,COR02e_t2_M_ON,COR01u_t2_M_ON,COR01e_t2_M_ON,COR05e_t2_M_ON,COR04e_t2_M_ON,COR03e_t2_M_ON,COR05u_t2_M_ON,COR04u_t2_M_ON,COR02u_t2_M_ON
MEG_1012/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,0,0,0,14,0
MEG_8073/Drugs/Trimethoprim/Dihydrofolate_reductase/DHFR/RequiresSNPConfirmation,0,0,0,0,0,66,0,78,84,190
MEG_2802/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,6,0,11,0,2,8,0,0,8
MEG_1008/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH2_DPRIME,0,0,0,0,0,0,0,24,18,0
MEG_4096/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,16
MEG_404/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,0,0,0,0,151,98,0,0
MEG_7264/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TOLC,0,0,0,0,0,0,30,14,6,0
MEG_412/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,8,0,0,12,20,0
MEG_951/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,4,0,0,0,0,0,0
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,0,0,0,0,0,0,6,0,0,0
MEG_8121/Drugs/betalactams/Class_B_betalactamases/GOB,0,0,0,0,0,0,0,0,18,0
MEG_2846/Drugs/MLS/23S_rRNA_methyltransferases/ERMT,4,0,0,0,0,0,0,0,0,0
MEG_4114/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/NCCH,0,0,0,0,0,14,0,0,14,0
MEG_1170/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSP,0,146,0,0,0,64,0,98,122,0
MEG_6011/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRC,0,0,0,0,0,18,0,0,20,0
MEG_6675/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7808/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/WTPA,0,0,0,0,0,0,0,0,26,0
MEG_7586/Drugs/Glycopeptides/VanE_type_resistance_protein/VANXYE,0,0,0,0,0,0,0,0,20,0
MEG_1615/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,2,0,0,0,0,2,0
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,0,0,0,0,0,12,8,0,0
MEG_741/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,4,0,0,0,0,0,0
MEG_8212/Drugs/betalactams/Class_C_betalactamases/LAQ,0,0,0,0,0,0,6,0,0,0
MEG_8088/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,0,1,0,0,0
MEG_5394/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,121,440,77,0,65,202,144,133,100,322
MEG_4072/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRC,0,0,0,0,0,0,0,0,34,0
MEG_7806/Drugs/Lipopeptides/Daptomycin_resistant_mutant/WALK/RequiresSNPConfirmation,0,0,0,0,0,0,0,126,70,0
MEG_3020/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSE,0,0,0,0,0,8,0,0,0,0
MEG_3752/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,0,0,0,0,0,0,72,63,0
MEG_2660/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,38,0,0,0,0,0,0,0,0
MEG_7246/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,2,77,0,28,0,6,8,11,0,36
MEG_5358/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,73,0,0,0,0,0,0,0,0
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,0,0,0,0,0,12,0,12,68,0
MEG_1484/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CADA,0,0,0,0,0,0,0,0,44,0
MEG_3230/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,60
MEG_4303/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OPRZ,0,0,0,0,4,0,0,0,0,0
MEG_1566/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,2,4,0,0,0,92
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,102,253,83,0,130,120,172,91,72,372
MEG_7471/Drugs/Glycopeptides/VanC_type_regulator/VANRC,34,76,0,0,0,28,0,40,26,100
MEG_2656/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/DPR,0,14,0,0,0,0,0,0,0,0
MEG_6756/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_752/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT2_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_7069/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,3,0,0,0,0,0,18,0,0,8
MEG_2966/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,3,0,0,0
MEG_170/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,6,0,0,10,0
MEG_7876/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,1,0,0,0,0,0,0,0
MEG_5819/Drugs/Fosfomycin/Fosfomycin_target_mutation/PTSL/RequiresSNPConfirmation,137,581,134,0,154,163,290,238,116,545
MEG_2614/Drugs/Phenicol/Phenicol_resistance_MFS_efflux_pumps/DHAP,0,0,36,0,0,36,0,70,68,0
MEG_6121/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,200,567,170,287,303,220,239,225,150,600
MEG_6686/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_2754/Drugs/MLS/Macrolide_esterases/ERED,0,0,0,0,0,22,0,46,78,0
MEG_1085/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,13,136,25,63,12,57,18,38,6,139
MEG_3612/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUE,0,0,0,0,0,12,0,14,22,0
MEG_281/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,12,14,0
MEG_3917/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXK,0,0,0,0,0,0,44,50,0,0
MEG_1486/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CADD,0,0,0,0,0,0,0,42,30,0
MEG_352/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,24,0
MEG_5848/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,0,4,0,0,0,0
MEG_7001/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET48,0,0,0,0,0,0,0,0,46,0
MEG_2810/Drugs/MLS/23S_rRNA_methyltransferases/ERMC,0,0,0,0,0,0,0,0,12,0
MEG_6172/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEA,0,86,0,0,0,22,0,56,30,0
MEG_3982/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,526,1277,480,827,427,705,977,806,365,1693
MEG_5372/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,146,0,0,0,0,0,45,75,118
MEG_4217/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/NREB,0,0,0,0,70,0,0,0,0,0
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,4,51,11,29,6,15,12,0,4,35
MEG_729/Drugs/betalactams/Penicillin_binding_protein/AMPH,0,0,0,0,0,0,6,0,0,0
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,11,19,0,2,0,0,22,0,4,0
MEG_3856/Metals/Mercury_resistance/Mercury_resistance_protein/MERB,0,0,0,0,0,0,0,0,10,0
MEG_5767/Drugs/betalactams/Class_A_betalactamases/PER,0,0,0,0,46,104,0,0,64,178
MEG_7235/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,43,12,55,20,20,33,17,6,57
MEG_3661/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MARA,0,0,0,0,0,0,0,4,0,0
MEG_850/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,2,0,0,0,0,0,0
MEG_1174/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,0,0,0,0,0,0,0,6,0
MEG_2730/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,0,0,0,0,0,29,0,12,0
MEG_6595/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,9,0,0,0,0,0,0
MEG_7025/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,35,36,96,87,0,48,26,0,0,107
MEG_316/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,26,30,0
MEG_4088/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/MTRR/RequiresSNPConfirmation,0,4,0,0,0,0,0,0,0,0
MEG_1175/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSRM,0,8,0,0,0,0,4,10,8,0
MEG_6102/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,140,361,97,0,85,131,189,137,101,491
MEG_1723/Drugs/Multi_drug_resistance/MDR_23S_ribosomal_RNA_methyltransferase/CIPA,0,0,0,0,0,0,0,0,38,0
MEG_8147/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,38,88,0,82,112,102
MEG_2794/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,12,2,10,0,2,4,6,0,3
MEG_1162/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,0,16,0,0,0,19,6,46,0
MEG_6590/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,0,0,0,0
MEG_5385/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,175,0,0,0,0,0,0,60,0
MEG_1717/Metals/Chromium_resistance/Chromium_resistance_protein/CHRR,0,0,0,0,0,0,0,0,18,0
MEG_7153/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,33,6,13,0,7,3,0,0,33
MEG_2473/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/CZCR,16,0,0,0,0,0,0,0,0,0
MEG_7003/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET50,60,230,0,0,30,98,0,66,84,246
MEG_8688/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/SALB,0,528,86,0,122,148,0,176,296,540
MEG_5378/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,138,0
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,15,0,0,0
MEG_7143/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,78,251,68,208,43,46,173,103,44,221
MEG_8287/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,0,0,9,0,0,0
MEG_3604/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,0,0,0,0,8,40
MEG_1464/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/BLT,0,0,0,0,0,0,0,0,28,0
MEG_1601/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,3,0,0,0,0,0,0
MEG_6612/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULI,0,8,6,6,0,0,0,0,0,0
MEG_5388/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,52,70,0,78,48,204
MEG_399/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,0,0,0,17,0,0,0
MEG_1300/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAR,0,0,0,0,0,0,0,28,0,0
MEG_7209/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,2,38,8,41,8,0,14,11,0,58
MEG_7481/Drugs/Glycopeptides/VanG_type_regulator/VANRG,80,198,58,0,40,124,108,112,118,268
MEG_4211/Drugs/Multi_drug_resistance/Multi_drug_MFS_efflux_pumps/NORBD,0,0,0,0,0,0,0,0,76,0
MEG_4409/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,7,0,0,0,0,0,0
MEG_7615/Drugs/Glycopeptides/VanA_type_accessory_protein/VANZA,0,0,0,0,0,0,0,0,8,0
MEG_3915/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXI,0,0,0,0,0,0,0,0,0,194
MEG_999/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT6,0,0,0,0,0,14,0,10,10,0
MEG_6879/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_677/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ADEA,0,0,0,0,0,0,0,0,30,0
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,15,129,24,76,9,25,28,26,9,139
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,106,204,0,0,0,84,0,54,0,306
MEG_7146/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,133,421,66,377,92,84,218,187,69,423
MEG_5917/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,0,0,2,0,0
MEG_5175/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,42,0,24,0
MEG_2941/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,36,0,0,0,0,0,0,0,0
MEG_7158/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,11,0,21,2,2,6,0,0,29
MEG_7839/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_SMR_efflux_pump/YKKC,0,4,0,0,0,0,0,0,10,0
MEG_3205/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,8,8,0,0
MEG_8672/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,700,0
MEG_4670/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,3,0,0,0,0,1,0
MEG_3241/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,60,0
MEG_2948/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,0,0,6,0,0,0
MEG_7860/Drugs/betalactams/Class_B_betalactamases/ZOG,0,0,0,0,0,0,0,0,16,0
MEG_5368/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,85,314,0,0,78,0,0,0,81,290
MEG_2756/Drugs/MLS/23S_rRNA_methyltransferases/ERM,0,0,0,0,0,0,0,0,18,0
MEG_6138/Drugs/Glycopeptides/Vancomycin_resistant_mutation/RPOC/RequiresSNPConfirmation,360,1059,282,0,390,562,569,572,422,1126
MEG_7122/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,52,127,15,85,21,38,76,51,20,115
MEG_7826/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFED,0,0,0,0,36,0,0,0,0,0
MEG_5375/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,627,2396,483,382,632,655,780,666,427,2221
MEG_4515/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,24,0,0,12,0
MEG_8679/Drugs/Oxazolidinone/Oxazolidinone_resistant_23S_rRNA_mutation/RRL/RequiresSNPConfirmation,262,735,343,341,260,364,555,493,216,1048
MEG_6548/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/SOXR/RequiresSNPConfirmation,0,0,0,0,0,0,8,0,0,0
MEG_7833/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,0,0,0,0,0,4,4,0
MEG_7027/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,18,0
MEG_3822/Drugs/MLS/MLS_resistance_MFS_efflux_pumps/MEFA,0,0,0,0,0,0,0,0,14,0
MEG_2502/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,0,0,0,3,0,0,0,0,0,0
MEG_7690/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/VGAE,0,0,0,0,0,30,0,24,36,0
MEG_7160/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,0,40,0,29,5,5,11,0,0,34
MEG_326/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,0,0,6,0
MEG_3620/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUG,0,0,0,0,0,28,0,0,46,74
MEG_6111/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,96,302,70,91,69,129,152,122,70,301
MEG_4075/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRE,0,0,0,0,0,88,0,0,58,0
MEG_1730/Drugs/Lipopeptides/Daptomycin_resistant_mutant/CLS/RequiresSNPConfirmation,0,0,0,0,0,0,0,48,80,0
MEG_7521/Drugs/Glycopeptides/VanN_type_regulator/VANSN,0,0,0,0,0,84,0,70,34,0
MEG_6722/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_844/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,1,0,0,0,0,0,0
MEG_6876/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_6114/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,166,553,105,0,116,233,179,180,157,510
MEG_3741/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_MFS_efflux_pumps/MDRL,0,0,0,0,0,0,0,0,28,0
MEG_4635/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,10,0
MEG_8242/Drugs/Multi_drug_resistance/MDR_mutation/MDR/RequiresSNPConfirmation,0,0,0,0,91,190,0,294,276,436
MEG_5395/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PAREF/RequiresSNPConfirmation,0,0,0,0,24,0,48,27,17,0
MEG_2691/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBC,0,0,0,0,0,0,8,2,0,0
MEG_518/Drugs/betalactams/Class_C_betalactamases/ADC,0,0,0,0,0,0,0,0,16,0
MEG_194/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,22,0,0,48,0
MEG_2907/Drugs/betalactams/Class_B_betalactamases/FEZ,0,0,0,0,0,0,0,20,20,0
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,96,40,0,42,44,36,22,0,133
MEG_3646/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/LSAB,0,0,0,0,80,128,0,106,238,0
MEG_7516/Drugs/Glycopeptides/VanM_type_regulator/VANSM,0,0,0,0,0,10,0,0,32,0
MEG_3131/Drugs/betalactams/Class_A_betalactamases/GES,0,0,0,21,0,0,0,0,0,0
MEG_5382/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,176,648,136,0,151,183,292,211,122,692
MEG_3665/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MCO,0,0,0,0,98,234,0,206,642,0
MEG_7138/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,36,74,26,125,22,44,64,60,26,95
MEG_8645/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACC,0,0,0,0,0,55,0,74,146,0
MEG_1192/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/BAER,0,0,0,0,0,0,26,3,0,0
MEG_7186/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,0,79,28,0,0,0,10,0,0,4
MEG_7010/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TET57,0,0,0,0,0,0,0,0,18,0
MEG_6843/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,1,0,0,0,0,0,0
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,5,0,0,0,0,0,0
MEG_473/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,2,0,0,0
MEG_7233/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,16,0,31,0,7,11,5,0,34
MEG_3842/Metals/Mercury_resistance/Mercury_resistance_protein/MERA,0,0,7,0,0,0,0,0,0,0
MEG_5350/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,20,0,0,0,0,0,0,52
MEG_2443/Metals/Copper_resistance/Copper_resistance_regulator/CUER,0,0,0,0,0,0,0,0,4,0
MEG_7006/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET53,0,0,0,0,0,0,0,0,32,0
MEG_5387/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,0,13,0,23,0,0,34
MEG_6619/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,17,15,4,54,6,6,0,8,8,41
MEG_968/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,4,0,0,3,0,0,0,0,0,0
