gene_accession,CAC04u_t2_M_AB,CAC04e_t2_M_AB,CAC05u_t2_M_AB,CAC05e_t2_M_AB,CAC02u_t2_M_MB,CAC03u_t2_M_MB,CAC02e_t2_M_MB,CAC01u_t2_M_AB,CAC01e_t2_M_AB,CAC03e_t2_M_MB
MEG_7220/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,17,8,11,5,0,0
MEG_1748/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_regulator/CMER,26,18,10,18,0,0,0,16,0,0
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,16,0,0,6,18,0,0,0,0,0
MEG_7078/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETG,0,0,0,0,20,0,0,0,0,4
MEG_6816/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_1250/Drugs/betalactams/Class_B_betalactamases/BLAB,0,0,0,0,0,0,0,16,0,0
MEG_8662/Drugs/Metronidazole/rdxA_nitroimidazole_reductase/RDXA,0,0,0,0,32,0,0,0,0,0
MEG_2729/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,28,0,0,0,26,15,22,33,18,20
MEG_969/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,3,0,0,0,0,0
MEG_3874/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,0,0,0,2,0,0,8,20
MEG_7273/Biocides/Phenolic_compound_resistance/Phenolic_RND_efflux_pump/TRIB,0,0,0,0,0,0,0,0,66,42
MEG_1084/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,17,15,12,20,28,20,12,14,19,47
MEG_3760/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,14,0,0,0,0,0,13,0,30,15
MEG_8649/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,0,0,12,0,0,14,8,22
MEG_1151/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,14,0,0,0,16,0,9,0,18,64
MEG_7823/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/YFEA,0,0,10,20,0,16,34,8,27,29
MEG_8252/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,2173,2034,1199,2072,2018,1337,1032,2068,3742,2012
MEG_6530/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/SMET,0,0,0,0,0,0,0,2,0,0
MEG_2020/Metals/Copper_resistance/Copper_resistance_protein/COPA,53,0,0,0,39,23,48,33,84,72
MEG_5175/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,34,0,0
MEG_4177/Metals/Nickel_resistance/Nickel_ABC_efflux_regulator/NIKR,13,0,0,0,6,12,1,0,2,11
MEG_1643/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/CEOA,0,0,4,0,0,0,0,0,0,0
MEG_4212/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/NORM,0,0,0,0,0,0,0,0,24,0
MEG_6052/Metals/Chromium_resistance/Chromium_resistance_protein/RECG,8,0,16,14,10,0,0,0,10,18
MEG_7184/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETQ,0,14,0,20,53,61,13,0,0,40
MEG_8651/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACL,0,0,0,0,4,1,0,0,0,0
MEG_3872/Metals/Mercury_resistance/Mercury_resistance_protein/MERH,0,0,0,8,0,0,0,0,0,0
MEG_6499/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/SILA,66,0,0,0,0,0,0,62,50,100
MEG_7990/Drugs/betalactams/Class_B_betalactamases/BLAB,148,0,0,0,0,0,0,0,0,0
MEG_5782/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_regulator/PHOB/RequiresSNPConfirmation,0,0,0,0,0,0,14,10,12,12
MEG_2946/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,396,297,202,168,295,197,233,215,337,296
MEG_7328/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/UGD,32,0,0,0,20,17,0,0,0,48
MEG_4326/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXA,0,0,0,0,0,0,8,7,0,10
MEG_1178/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARST,0,0,0,0,4,0,0,0,13,0
MEG_6101/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,91,80,51,71,156,80,108,97,197,106
MEG_3876/Metals/Mercury_resistance/Mercury_resistance_protein/MERP,0,0,0,8,0,0,0,10,0,0
MEG_7316/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,219,120,157,109,205,164,205,135,211,179
MEG_3946/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,43,0,0,0,92,0,44,50,40,102
MEG_405/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,57,0,0,0,0,30,25,0,49,49
MEG_6620/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,0,0,0,2,2,0,4,0,0,3
MEG_6059/Drugs/betalactams/Class_B_betalactamases/RM3,0,0,0,0,0,0,0,20,0,22
MEG_6603/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,2,0,0,2,0,0,0,0,0
MEG_6103/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,154,111,151,186,268,169,140,440,442,245
MEG_4065/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,0,62,0,0,0,0,0,0,0,0
MEG_8647/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACF,0,0,0,0,0,0,0,0,0,60
MEG_6159/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,6,0,0,0,0,0
MEG_3603/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,22,0,14,0,0,0,0,0,0,0
MEG_3985/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,475,428,223,223,581,341,355,485,832,455
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,101,42,0,0,90,63,90,60,123,115
MEG_1283/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,2,0,0,0,0
MEG_6544/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODB,0,0,26,0,0,0,21,38,67,50
MEG_2440/Metals/Copper_resistance/Copper_resistance_protein/CUEO,81,38,20,0,42,46,49,50,77,31
MEG_1059/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,0,12,0,0,0,0,0
MEG_8635/Drugs/Lipopeptides/Colistin-resistant_mutant/PMRAR/RequiresSNPConfirmation,0,0,0,0,0,0,12,0,0,0
MEG_7861/Metals/Zinc_resistance/Zinc_resistance_regulator/ZRAR,13,0,0,0,4,0,7,0,0,0
MEG_380/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/ABES,0,0,0,0,0,6,0,0,0,0
MEG_6645/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TBTA,0,0,0,38,0,0,0,0,0,58
MEG_1277/Drugs/betalactams/Class_C_betalactamases/BLAEC,8,0,0,0,0,8,0,0,0,0
MEG_4107/Drugs/MLS/23S_rRNA_methyltransferases/MYRA,0,0,0,0,0,0,0,0,0,5
MEG_2119/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,35,0,0,0,18,6,12,0,39,33
MEG_1096/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,19,6,11,30,23,16,6,8,16,39
MEG_1001/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,7,0,2,200,0,20,64,29,0
MEG_5/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,1443,1015,1078,967,1721,996,918,1984,2869,1219
MEG_7037/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,129,80,95,101,108,113,100,77,125,165
MEG_6934/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,0,2
MEG_6138/Drugs/Glycopeptides/Vancomycin-resistant_mutation/RPOC/RequiresSNPConfirmation,715,444,426,370,590,427,478,728,1106,469
MEG_7170/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETO,30,26,8,6,64,40,32,22,36,52
MEG_7470/Drugs/Glycopeptides/VanC-type_regulator/VANRC,54,48,24,56,0,0,28,134,179,38
MEG_1055/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,5,2,5,11,18,3,2,1,7,32
MEG_1992/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,0,0,7
MEG_6045/Drugs/Multi-drug_resistance/Multi-drug_RND_efflux_regulator/RAMR/RequiresSNPConfirmation,0,0,0,0,0,0,2,0,4,4
MEG_7635/Biocides/Multi-biocide_resistance/Multi-biocide_ABC_efflux_pump/VCAM,0,0,0,0,0,0,0,166,0,0
MEG_7484/Drugs/Glycopeptides/VanN-type_regulator/VANRN,44,42,0,26,46,26,18,34,0,66
MEG_3847/Metals/Mercury_resistance/Mercury_resistance_protein/MERB,0,0,0,0,0,0,0,0,2,0
MEG_291/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,0,10,0
MEG_4039/Drugs/MLS/Macrolide_phosphotransferases/MPHC,0,0,0,0,12,0,0,0,0,0
MEG_1737/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEA,54,0,42,0,0,0,0,0,0,0
MEG_1614/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,2,0,1,0,0,0,0
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,52,88,118,222,98,98,74,134,56,164
MEG_7835/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YIEF,32,0,0,0,10,16,14,15,22,13
MEG_6838/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,2,0,0,0,0,0
MEG_5393/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,14,0,9,0,10,0,0,8,23,22
MEG_5325/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,43
MEG_2980/Drugs/betalactams/Class_A_betalactamases/FONA,0,0,0,0,0,0,0,0,9,0
MEG_6909/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,4,0,0,0,8
MEG_3141/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/GLPF,25,3,0,0,4,4,11,6,0,12
MEG_6878/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_3193/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,74,79,0,0,0,0,0,0,0,102
MEG_3221/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,59,0
MEG_2568/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRB,0,0,0,0,0,4,0,0,0,0
MEG_4748/Drugs/betalactams/Class_D_betalactamases/OXA,0,68,72,84,122,62,72,92,0,74
MEG_5299/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,2,0,0,0
MEG_399/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,61,0,0,0,51,20,32,0,28,8
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,39,33,17,0,0,0,21,22,101,51
MEG_2650/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/DMEF,0,0,0,0,0,0,0,0,0,54
MEG_518/Drugs/betalactams/Class_C_betalactamases/ADC,0,0,0,0,0,0,0,0,14,0
MEG_3234/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,36,39,0,0,18,0,54,0,36,48
MEG_700/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ADEL,0,0,0,0,0,0,0,16,0,0
MEG_3605/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUA,0,0,0,0,10,0,8,0,0,6
MEG_6050/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/RCNR,18,6,0,0,10,20,6,14,0,0
MEG_4361/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,8,6
MEG_3066/Drugs/Fusidic_acid/Ribosomal_zinc-binding_protein/FUSB,0,0,0,0,0,0,0,0,12,0
MEG_5321/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/OXYRKP,49,22,8,0,24,4,43,29,49,68
MEG_3237/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,241,164,98,108,220,116,125,145,345,159
MEG_6826/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7853/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZNTA,114,0,0,0,57,44,58,20,30,54
MEG_1182/Biocides/Acid_resistance/Acid_resistance_protein/ASR,15,0,32,0,0,18,14,0,12,22
MEG_3999/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTP,10,0,0,0,0,10,4,0,0,0
MEG_3007/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSB,0,0,0,0,0,0,0,8,0,0
MEG_8710/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_281/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,18,0,0
MEG_7022/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,0,56
MEG_3252/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/HASF,108,0,0,0,111,0,63,101,115,67
MEG_3618/Drugs/MLS/Lincosamide_nucleotidyltransferases/LNUF,0,0,0,0,0,0,0,0,0,4
MEG_6918/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,0,0
MEG_4577/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,8,8,0,0,0,0,0
MEG_3290/Biocides/Acetate_resistance/Acetate_resistance_protein/ICLR,8,0,0,0,0,2,0,0,0,6
MEG_6604/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,2,0,0,2,0,0,4
MEG_270/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,6,0,0,0,0,0
MEG_3761/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,16,0,0,0,12,0,8,0,0,8
MEG_6629/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,49,22,30,26,125,36,34,4,34,47
MEG_4122/Metals/Multi-metal_resistance/Multi-metal_MFS_efflux_regulator/NCRB,0,0,0,0,0,0,0,8,0,0
MEG_3295/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES,1672,1058,776,741,1897,901,1102,1434,3220,959
MEG_4097/Drugs/Glycopeptides/Vancomycin-resistant_mutation/MURG/RequiresSNPConfirmation,0,0,0,0,0,0,0,20,0,0
MEG_7039/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,127,117,103,92,138,103,94,82,164,142
MEG_7116/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,27,22,44,10,172,88,82,41,82,73
MEG_3918/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/MEXL,0,0,0,0,0,0,0,0,0,22
MEG_7331/Drugs/Glycopeptides/VanA-type_resistance_protein/VAN,0,0,12,0,24,0,0,8,16,0
MEG_279/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,0,0,0,0,54,0,0
MEG_2132/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,284,106,107,77,134,109,104,82,167,151
MEG_5369/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,45,0,0,0,0,0,0,63,0,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,30,24,12,0,82,42,46,18,40,70
MEG_7264/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,24,0,0,0,0,0,17,4,14,12
MEG_7842/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_ABC_efflux_pumps/YOGI,49,25,0,0,21,24,14,37,23,54
MEG_7211/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,20,18,0,16,94,63,52,22,62,81
MEG_1171/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,2,0,0,0,0,0,0,0,0,0
MEG_3599/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/LMRS,0,0,0,0,0,0,0,74,0,0
MEG_6876/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_7134/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,38,24,29,18,141,101,102,74,85,79
MEG_7515/Drugs/Glycopeptides/VanM-type_regulator/VANSM,0,30,0,0,72,0,56,0,0,46
MEG_7511/Drugs/Glycopeptides/VanE-type_regulator/VANSE,0,0,0,32,0,0,0,0,0,44
MEG_2754/Drugs/MLS/Macrolide_esterases/ERED,56,0,62,0,0,0,36,52,0,0
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,271,161,187,183,236,206,199,705,862,265
MEG_2434/Drugs/betalactams/Class_A_betalactamases/CTX,633,564,546,511,648,681,733,453,880,936
MEG_2580/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRI,0,0,16,0,0,0,0,0,0,20
MEG_5829/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACEDELTA1,0,0,0,2,0,0,0,0,0,0
MEG_2061/Metals/Copper_resistance/Copper_resistance_protein/COPK,30,20,54,12,22,0,12,44,26,0
MEG_7040/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,197,180,156,177,240,179,196,138,209,300
MEG_5357/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,0,83,0
MEG_3993/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,533,399,273,237,619,333,296,501,1017,435
MEG_3592/Drugs/MLS/Lincosamide_nucleotidyltransferases/LIN,0,0,0,0,0,102,0,74,88,60
MEG_2028/Metals/Copper_resistance/Copper_resistance_protein/COPA,0,0,2,0,0,0,0,0,0,0
MEG_406/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,56,33,0,0,44,31,34,50,64,59
MEG_3198/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,0,0,0,70,61,0
MEG_5354/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,0,38,54,44
MEG_7818/Biocides/Peroxide_resistance/peroxide_resistance_protein/YDEI,2,0,0,0,2,0,0,0,0,19
MEG_3943/Drugs/Multi-drug_resistance/MDR_regulator/MGRA,0,0,14,26,0,0,0,0,0,18
MEG_4056/Drugs/Cationic_antimicrobial_peptides/Defensin-resistant_mprF/MPRF,0,0,0,0,36,0,36,50,0,68
MEG_2781/Drugs/MLS/23S_rRNA_methyltransferases/ERM42,0,0,0,0,18,0,0,28,0,0
MEG_3988/Drugs/MLS/Macrolide-resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1343,1057,633,810,1217,761,701,1634,2221,1064
MEG_722/Drugs/Cationic_antimicrobial_peptides/Lipid_A_modification/ALMG,0,0,0,0,0,0,0,0,0,26
MEG_6161/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,2,0,0,0,0,0
MEG_3763/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTN,34,0,0,0,14,16,28,0,0,24
MEG_6160/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,2,0,0,0,0
MEG_7083/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,37,50,62,36,392,112,86,31,23,144
MEG_1601/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,1,0,0,0,0
MEG_5361/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,0,0,10,10,48,13
MEG_1053/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-DPRIME,16,7,2,20,12,16,12,5,39,43
MEG_6122/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,39,46,26,36,56,48,51,57,107,55
MEG_17/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC2-PRIME,0,0,0,0,46,42,0,0,0,0
MEG_6638/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,41,15,12,12,113,51,37,2,18,48
MEG_6011/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRC,0,0,0,0,0,0,0,8,0,0
MEG_3949/Drugs/betalactams/Class_C_betalactamases/MIR,0,0,0,0,0,0,0,0,2,0
MEG_6128/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,138,99,105,90,173,89,96,179,276,99
MEG_2941/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,32,0,0,0,0,62,0
MEG_7085/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,30,27,36,36,323,87,74,32,30,150
MEG_8692/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/SDRM,0,0,0,0,0,0,30,0,0,0
MEG_5384/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,26,26,0,28,20,0,0,37,63,0
MEG_7140/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,59,52,78,31,301,191,178,99,182,184
MEG_6575/Biocides/Multi-biocide_resistance/Multi-biocide_SMR_efflux_pump/SUGE,12,0,0,0,0,2,8,0,0,2
MEG_3736/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,11,0,0,0,0,6,0,0,22,12
MEG_8273/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/NORC,0,36,0,0,0,18,0,162,0,40
MEG_4075/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRE,0,0,0,0,114,0,0,0,110,0
MEG_6598/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,0,2,0,0,2
MEG_6135/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,111,68,43,58,63,66,79,59,114,56
MEG_6974/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET33,0,0,0,0,0,0,0,0,0,4
