gene_accession,HBB06e_t2_M_BC,HBB06u_t2_M_BC,HBB07u_t2_M_BC,HBB07e_t2_M_BC,HBB10e_t2_M_BC,HBB08e_t2_M_BC,HBB09e_t2_M_BC,HBB08u_t2_M_BC,HBB09u_t2_M_BC,HBB10u_t2_M_BC
MEG_145/Drugs/Aminoglycosides/Aminoglycoside_N-acetyltransferases/AAC6-PRIME,0,0,0,8,0,0,0,0,0,0
MEG_3758/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MATE_efflux_pumps/MDTK,0,0,0,0,0,0,0,0,0,36
MEG_8677/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RPSL/RequiresSNPConfirmation,56,60,32,44,53,91,34,81,97,107
MEG_2092/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORD,0,0,0,0,1,0,0,0,0,0
MEG_7130/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,27,14,12,44,46,37,9,13,61,38
MEG_1616/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_8722/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/TVAB,0,0,0,0,0,0,0,0,0,58
MEG_7819/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/YDEO,0,0,8,0,5,0,0,0,0,12
MEG_8087/Biocides/Aldehyde_resistance/Aldehyde_degradation/FORMA,8,19,10,8,15,0,12,0,0,11
MEG_3740/Drugs/Multi-drug_resistance/MDR_23S_rRNA_mutation/MDR23S/RequiresSNPConfirmation,0,42,30,28,0,46,48,26,66,27
MEG_1600/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_6855/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,0
MEG_7310/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,1590,2221,3167,1744,2617,2307,1683,2424,2551,3893
MEG_7185/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,19,12,18,4,25,31,102,5,24,101
MEG_406/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,0,12,0,21,0,0,0,0,12
MEG_6964/Drugs/Tetracyclines/Tetracycline-resistant_16S_ribosomal_subunit_protein/TET16S/RequiresSNPConfirmation,3410,2430,3944,7721,7482,6689,3592,5303,9375,7824
MEG_993/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,0,0,0,0,8,0,0,0,0,0
MEG_414/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/ACRR/RequiresSNPConfirmation,0,0,0,0,8,0,0,0,7,29
MEG_6598/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,0,0,0,0,0
MEG_5365/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,0,11,22,0,24,26,30,22
MEG_4214/Drugs/Aminocoumarins/Aminocoumarin_efflux_pump/NOVA,0,0,0,0,0,0,37,0,0,0
MEG_6945/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_6898/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,4,0
MEG_6882/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6975/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TET33,0,0,0,2,0,0,0,0,0,0
MEG_2144/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,0,0,0,4,0,0,0
MEG_1095/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH6,2,9,2,0,17,1,0,7,20,15
MEG_753/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,5,0,0,0,0
MEG_2479/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CZRA,0,0,0,56,0,0,0,0,0,0
MEG_2136/Metals/Copper_resistance/Copper_resistance_regulator/CSOR,0,0,0,0,0,0,0,0,4,0
MEG_6940/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,2,0,4,0
MEG_2900/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/FETB,0,0,0,0,25,0,0,0,0,18
MEG_1615/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_792/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,2,0
MEG_1166/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSDM,0,0,0,0,0,0,0,0,19,0
MEG_6878/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,4,8
MEG_3079/Biocides/Acid_resistance/Acid_resistance_protein/GADC,0,0,0,0,20,0,0,0,0,16
MEG_5856/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_regulator/QACR,0,8,0,0,0,0,0,0,0,0
MEG_968/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,3,0
MEG_7303/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,337,346,449,817,1332,892,406,652,997,996
MEG_5387/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,0,14,0,42,32,0,9,38,0
MEG_998/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,30,0,0,0,28,0,0,0,44,50
MEG_7056/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,4,4,6,6,9,0,36,1,20,0
MEG_5813/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTA,0,0,4,0,17,0,12,0,10,7
MEG_1278/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,7,0,0,0,0,0
MEG_820/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_4280/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,0,0,0,4,0,10,0,0,0
MEG_7032/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,4,0,2,0,0,2,0,0,0,12
MEG_3201/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,23,39,0,11,23,14,41,0,39,45
MEG_2456/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,0,0,8,0,0,0,0,0
MEG_1063/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,0,0,0,0,0,0,6
MEG_4289/Drugs/betalactams/Mutant_porin_proteins/OMPFB/RequiresSNPConfirmation,0,0,6,0,12,0,0,0,0,0
MEG_7853/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ZNTA,0,0,10,0,40,0,0,0,0,39
MEG_5359/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,26,11,0,0,0,0
MEG_7609/Drugs/Glycopeptides/VanF-type_accessory_protein/VANYF,9,0,0,0,21,0,3,8,10,8
MEG_754/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_916/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,1,0
MEG_1170/Metals/Arsenic_resistance/Arsenic_resistance_protein/ARSP,0,0,0,0,0,0,0,0,0,36
MEG_4068/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/MSRA,24,8,0,26,12,16,0,0,0,30
MEG_2435/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,0,4,12,0,106,4,9,2
MEG_973/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,2,0
MEG_3998/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/MNTH,0,0,25,0,26,0,0,0,0,65
MEG_2892/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/FBPC,0,0,0,0,0,0,0,0,0,12
MEG_3080/Biocides/Acid_resistance/Acid_resistance_regulator/GADE,0,0,2,0,1,0,0,0,0,2
MEG_8232/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LPTD,0,0,0,0,29,7,40,22,41,26
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,689,605,1007,1429,1549,1596,952,1240,2087,1455
MEG_390/Drugs/betalactams/Class_C_betalactamases/ACC,4,0,0,0,0,0,0,0,0,0
MEG_7213/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,10,6,5,17,4,12,2,0,10,14
MEG_2091/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORC,12,0,24,12,32,25,48,0,17,54
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,24,52,29,11,48,47,4,60,18,81
MEG_6601/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,2,0,0,2,1
MEG_7115/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,58,42,56,110,94,129,61,62,211,155
MEG_1119/Drugs/Multi-drug_resistance/MDR_regulator/ARLS,0,0,0,0,32,0,0,0,0,0
MEG_2721/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,0,0,0,10,0,0,0,0,8
MEG_769/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,0,0,0,2,0
MEG_7263/Biocides/Multi-biocide_resistance/Multi-biocide_RND_efflux_pump/TOLC,0,0,0,0,25,0,0,10,0,11
MEG_995/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT6,37,1,24,28,13,0,12,24,12,27
MEG_7858/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUB,0,0,4,0,14,0,0,0,0,8
MEG_7817/Biocides/Paraquat_resistance/Paraquat_efflux_pump/YDDG,0,0,0,0,0,0,0,0,0,30
MEG_2731/Drugs/Multi-drug_resistance/Multi-drug_SMR_efflux_regulator/EMRE,0,0,0,0,0,0,0,20,16,0
MEG_4276/Drugs/MLS/MLS_resistance_ABC_efflux_pumps/OLEC,0,0,0,31,0,0,0,0,0,0
MEG_1107/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/ARIR,0,0,2,0,0,0,0,0,0,2
MEG_7833/Multi-compound/Biocide_and_metal_resistance/Biocide_and_metal_resistance_protein/YHCN,0,0,1,0,3,0,0,0,2,4
MEG_7145/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,43,45,53,115,132,102,49,143,201,159
MEG_7855/Metals/Zinc_resistance/Zinc_resistance_protein/ZNUA,0,0,0,2,8,0,14,0,0,5
MEG_7211/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,7,6,4,16,4,31,15,12,14,20
MEG_1065/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH3-PRIME,0,0,0,0,0,0,0,0,0,4
MEG_6947/Drugs/betalactams/Class_A_betalactamases/TEM,2,0,0,0,0,0,0,0,4,0
MEG_3646/Drugs/Multi-drug_resistance/Multi-drug_ABC_efflux_pumps/LSAB,0,0,0,0,70,0,0,0,0,0
MEG_2959/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,0,0,4,0,0,0,0,0
MEG_6682/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,2
MEG_7225/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,4,11,8,4,28,4,10,16,24
MEG_6594/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,0,4,0,0,0,0
MEG_6550/Biocides/Multi-biocide_resistance/Multi-biocide_resistance_regulator/SOXRB,0,0,2,0,0,0,0,0,0,0
MEG_9/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,793,614,916,1330,1660,1637,826,1248,2115,1503
MEG_4981/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,2,0,0,0,0
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,6,0,8,4,8,12,2,10,8,25
MEG_6956/Metals/Tellurium_resistance/Tellurium_resistance_protein/TERB,0,0,0,0,0,0,0,0,2,0
MEG_2450/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_pumps/CUSC,0,0,4,0,6,0,0,0,0,0
MEG_6173/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SDEB,0,0,0,0,0,44,0,0,0,24
MEG_7024/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,2,0,3,0,0,9,0,0,0,22
MEG_7063/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,0,0,0,0,0,0,17,0,0,0
MEG_2132/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CRP,86,70,241,114,172,93,118,99,63,312
MEG_6897/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,2
MEG_6162/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,2,0
MEG_4010/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/MODC,0,0,2,0,5,0,0,0,0,20
MEG_1619/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,6,0,0,0,0
MEG_4355/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,6,0
MEG_2796/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,12,14,15,43,79,24,12,21,30,42
MEG_2452/Metals/Multi-metal_resistance/Multi-metal_RND_efflux_regulator/CUSR,0,0,6,0,4,0,0,0,0,3
MEG_6052/Metals/Chromium_resistance/Chromium_resistance_protein/RECG,0,0,0,0,0,0,0,0,0,10
MEG_7207/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,0,0,0,0,0,0,0,0,0,2
MEG_6167/Drugs/Nucleosides/Streptothricin_acetyltransferase/SAT,0,0,0,0,0,0,0,0,3,0
MEG_6896/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_2085/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/CORA,0,0,2,0,7,0,17,0,0,5
MEG_4169/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,0,0,0,0,0,0,0,0,8
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,11,13,2,8,28,0,119,4,21,0
MEG_6/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,4405,5460,7686,3971,6680,5771,4254,6235,7002,8947
MEG_3250/Drugs/Aminocoumarins/Aminocoumarin-resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,0,0,0,0,0,0,0,30,22,0
MEG_1579/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,21,5,7,9,18,0,7,0,8,10
MEG_764/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,3,0,0,0,0,0,0
MEG_6119/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,0,0,0,0,176,158,158,0,247
MEG_1236/Drugs/betalactams/Class_A_betalactamases/BKC,0,0,0,0,0,0,0,0,0,12
MEG_6680/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,0
MEG_7094/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,191,0,0,0,0,12,0,30,21,0
MEG_7313/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,104,70,118,216,608,442,235,288,515,276
MEG_1590/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,0,3,0
MEG_3448/Drugs/Aminoglycosides/Aminoglycoside_efflux_pumps/KDPE,2,0,0,0,14,0,0,0,0,0
MEG_3205/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,0,0,38,6,60,0,17,11
MEG_3434/Drugs/Rifampin/Monooxygenase/IRI,0,0,0,0,0,0,0,4,0,0
MEG_7029/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,0,0,0,0,0,0,0,3
MEG_6730/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,2,0,4,2
MEG_7974/Drugs/betalactams/Class_C_betalactamase_regulator/AMPCR/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_7217/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,12,4,16,25,14,31,10,15,48,37
MEG_7412/Drugs/Glycopeptides/VanA-type_resistance_protein/VANHA,0,0,0,0,18,0,0,0,0,0
MEG_8065/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,8,16,0,0,0,0,0,0,0,0
MEG_7119/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,6,9,14,19,18,19,16,12,24,28
MEG_12/Drugs/Aminoglycosides/Aminoglycoside-resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,151,197,201,231,181,235,150,190,358,312
MEG_6635/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULII,0,0,0,0,2,0,0,0,0,0
MEG_6762/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,2
MEG_6746/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,0,2,4
MEG_7520/Drugs/Glycopeptides/VanM-type_regulator/VANSM,28,0,0,0,0,0,0,24,0,0
MEG_2434/Drugs/betalactams/Class_A_betalactamases/CTX,392,507,892,487,851,541,284,457,668,1001
MEG_4843/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,0,0,36
MEG_4163/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,0,2,0,4,0,0,0,0,4
MEG_2457/Metals/Copper_resistance/Copper_resistance_protein/CUTE,0,0,8,0,20,0,0,0,0,16
MEG_2793/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,61,42,53,111,154,76,54,121,259,163
MEG_5273/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,0,0,12,0,0
MEG_7098/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETL,111,0,0,0,5,11,0,11,6,0
MEG_4840/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,0,0,0,6,0,0,0,0
MEG_1148/Metals/Multi-metal_resistance/Multi-metal_resistance_protein/ARSBM,0,0,0,0,0,0,13,0,4,0
MEG_6738/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,0,0
MEG_2972/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/FOLP/RequiresSNPConfirmation,0,0,12,0,3,0,0,0,0,0
MEG_1744/Multi-compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/CMEE,48,0,0,44,76,0,0,0,0,74
MEG_6120/Drugs/Rifampin/Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,0,150,282,211,0,289,0,0,0,297
MEG_7320/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,11,29,11,13,16,31,12,16,36,37
MEG_398/Metals/Arsenic_resistance/Arsenic_resistance_membrane_transporter/ACR3,0,24,44,36,28,42,38,30,52,88
MEG_4204/Biocides/Paraquat_resistance/Paraquat_resistance_protein/NMPC,8,0,0,0,6,0,0,0,0,5
MEG_4196/Metals/Nickel_resistance/Nickel_resistance_protein/NIRB,0,0,0,10,0,0,0,0,10,0
MEG_4348/Multi-compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,0,0,0,0,0,4,0
MEG_741/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT2-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_5332/Drugs/Fluoroquinolones/Fluoroquinolone-resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,0,27,39,0,0,0,46
MEG_7471/Drugs/Glycopeptides/VanC-type_regulator/VANRC,0,0,0,0,10,0,10,14,0,0
MEG_2896/Metals/Multi-metal_resistance/Multi-metal_ABC_efflux_pumps/FECE,0,0,0,0,0,0,0,0,0,5
MEG_1591/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,8,0,0,0,0,0,0
MEG_7309/Drugs/Elfamycins/EF-Tu_inhibition/TUFAB/RequiresSNPConfirmation,169,254,244,149,257,198,212,176,208,394
MEG_2803/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,34,52,48,132,155,86,50,121,208,132
MEG_7141/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,19,14,12,40,34,43,21,31,67,42
MEG_3295/Drugs/Mupirocin/Mupirocin-resistant_isoleucyl-tRNA_synthetase/ILES,534,410,648,653,340,719,407,490,887,729
MEG_6614/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,8,0,0,4,0
MEG_8700/Multi-compount/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITABCD,0,0,0,0,93,0,0,0,0,0
MEG_3947/Metals/Multi-metal_resistance/Multi-metal_resistance_regulator/MGTA,0,0,0,0,60,0,0,0,0,32
MEG_7245/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETY,0,66,8,0,43,0,30,10,66,57
MEG_6941/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,2,0,2,0
MEG_1609/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,2,0,0,0,0
MEG_1099/Drugs/Aminoglycosides/Aminoglycoside_O-phosphotransferases/APH9,0,0,30,0,0,0,0,0,48,0
MEG_1173/Metals/Arsenic_resistance/Arsenic_resistance_regulator/ARSR,0,0,3,0,3,0,0,0,0,0
MEG_768/Drugs/Aminoglycosides/Aminoglycoside_O-nucleotidyltransferases/ANT3-DPRIME,0,0,0,0,0,2,0,0,0,0
MEG_6580/Drugs/Sulfonamides/Sulfonamide-resistant_dihydropteroate_synthases/SULI,0,0,0,0,2,0,0,0,0,0
MEG_4095/Drugs/Fosfomycin/Fosfomycin_target_mutation/MURA/RequiresSNPConfirmation,24,58,34,23,41,0,38,22,28,50
