"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Lactobacillus sp. ESL0230"	"S"	2069353	0.009696	0.002191	0.002831	0.002925	0.002049	0.002359	0.002493	0.003009	0.002774	0.003271	0.003281	0.00324	0.006122	0.003316	0.002226	0.009696	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus apis"	"S"	303541	3.557	0.5481	1.092	0.5575	0.5292	0.8662	0.7974	1.212	0.9068	1.583	0.7775	0.5984	3.557	1.262	0.4159	1.012	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus mellifer"	"S"	1218492	0.5403	0.4201	0.3316	0.3833	0.224	0.3512	0.1788	0.305	0.4537	0.2735	0.1065	0.3779	0.5403	0.1191	0.2412	0.3584	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus helsingborgensis"	"S"	1218494	0.7987	0.3822	0.2151	0.7987	0.3806	0.2335	0.2112	0.7374	0.4366	0.4193	0.08405	0.3981	0.4298	0.1147	0.151	0.1671	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kimbladii"	"S"	1218506	0.6438	0.3461	0.3918	0.218	0.368	0.3576	0.2208	0.6438	0.2389	0.251	0.1655	0.4766	0.4181	0.3196	0.5207	0.4852	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus melliventris"	"S"	1218507	1.192	0.2989	0.3599	0.3786	0.378	0.2497	0.2953	0.7319	0.7827	0.5469	0.3186	1.192	0.792	0.494	0.6867	0.6711	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kullabergensis"	"S"	1218493	0.2993	0.1899	0.1886	0.1834	0.1977	0.1553	0.1083	0.2993	0.2223	0.1335	0.1002	0.2983	0.2458	0.164	0.237	0.2581	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kunkeei"	"S"	148814	0.5344	0.03581	0.03383	0.00245	0.004434	0.5344	0.001591	0.02063	0.04328	0.0454	0.3913	0.03758	0.2403	0.3811	0.09432	0.05837	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus bombicola"	"S"	1505723	0.01391	0.001487	0.001844	0.003179	0.002324	0.001639	0.001459	0.003542	0.00326	0.003196	0.003625	0.002582	0.00447	0.002856	0.002866	0.01391	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus apinorum"	"S"	1218495	0.01187	0.000949	0.0008886	0.0004318	0.0004322	0.007665	0.0004094	0.0009233	0.001918	0.005965	0.005572	0.0009617	0.007758	0.01187	0.003089	0.002722	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Melissococcus plutonius"	"S"	33970	4.623	0.002763	0.002486	0.001526	0.001701	3.659	0.001635	0.001489	0.001441	0.6101	0.5895	0.001401	4.623	4.095	0.001375	0.7764	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Melissococcus"
"Paenibacillus alvei"	"S"	44250	0.001107	0.0006596	0.0005808	0.0004166	0.0002498	0.0005059	0.0002986	0.0003325	0.0002925	0.0002993	0.0002151	0.0002281	0.001107	0.001014	0.0002095	0.0002705	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus larvae"	"S"	1464	0.001127	0.0003466	0.0003136	0.0002235	0.00016	0.000285	0.0001354	0.0001814	0.000158	0.0003421	0.000126	0.0001199	0.0009842	0.001127	0.0001694	0.0002064	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Brevibacillus laterosporus"	"S"	1465	0.001744	0.0003332	0.0002556	0.0001497	0.0001993	0.0003225	0.0001662	0.0002583	0.0002264	0.0002715	0.0001695	0.0001505	0.001744	0.001742	0.0001315	0.0001884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Brevibacillus"
"Bifidobacterium asteroides"	"S"	1684	2.046	1.035	1.237	1.335	0.8957	1.362	0.8201	1.063	2.046	1.245	0.5247	1.402	1.909	0.8421	2.023	1.713	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium coryneforme"	"S"	1687	0.1957	0.1116	0.07043	0.009147	0.02931	0.1957	0.0305	0.02555	0.06889	0.02608	0.02898	0.04596	0.136	0.04483	0.08655	0.06911	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium indicum"	"S"	1691	0.1793	0.1026	0.05975	0.009071	0.02698	0.1793	0.0277	0.0224	0.06397	0.02448	0.02693	0.03861	0.1238	0.03997	0.07167	0.06687	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium actinocoloniiforme"	"S"	638619	0.001533	0.0008043	0.001063	0.0004101	0.000595	0.00114	0.0005695	0.0005028	0.001533	0.00109	0.0003998	0.000569	0.001363	0.0007393	0.001181	0.001323	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium bohemicum"	"S"	638617	0.0004396	0.0003062	0.0002004	0.0001628	0.000101	0.0004396	0.000117	0.0001154	0.0001816	9.194e-05	0.0001543	0.0002563	0.0002781	0.0001365	0.0001783	0.0002285	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium bombi"	"S"	471511	0.0004198	0.0002524	0.0002265	9.982e-05	0.0001796	0.0003159	0.0001139	0.0001868	0.0004198	0.0002053	0.0001347	0.0001575	0.0003393	0.0002477	0.0002585	0.0001723	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Spiroplasma melliferum"	"S"	2134	0.02192	0.002723	0.0005634	0.001181	0.0005136	0.0004992	0.0006618	0.0004451	0.0004481	0.02192	0.01057	0.0004491	0.001391	0.0009421	0.0007109	0.0004168	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Spiroplasma apis"	"S"	2137	0.2568	0.001736	0.001127	0.0006293	0.000668	0.0006671	0.0008465	0.0007804	0.0005307	0.2568	0.000452	0.0004091	0.0004556	0.000277	0.000448	0.000479	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Apibacter sp. wkB309"	"S"	1679467	0.009824	0.003443	0.005201	0.000434	0.0007129	0.0007798	0.0006649	0.0005248	0.009824	0.0005174	0.001897	0.0005126	0.003369	0.001767	0.001315	0.002832	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter>unclassified&nbsp;Apibacter"
"Apibacter mensalis"	"S"	1586267	0.009647	0.003221	0.00546	0.0005035	0.0006371	0.0008726	0.0006003	0.0005276	0.009647	0.0005687	0.002119	0.0005079	0.003114	0.001775	0.001464	0.002844	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter"
"Apibacter adventoris"	"S"	1679466	0.002715	0.001713	0.0021	0.001094	0.0009654	0.001016	0.0009789	0.000882	0.002715	0.001013	0.001195	0.0008676	0.001501	0.001219	0.000907	0.001237	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter"
